gene_id	gene_description	pathway	topic_ecosystem	category	subcategory
K06384	spoIIM;stage II sporulation protein M	engineered systems	engineered systems	sporulation	sporulation
K05606	yqjC;hypothetical protein	engineered systems	engineered systems	sporulation	sporulation
K03417	mmgF;methylisocitrate lyase	engineered systems	engineered systems	sporulation	sporulation
K01720	mmgE;2-methylcitrate dehydratase	engineered systems	engineered systems	sporulation	sporulation
K01647	mmgD;2-methylcitrate synthase	engineered systems	engineered systems	sporulation	sporulation
K18244	mmgC;acyl-CoA dehydrogenase	engineered systems	engineered systems	sporulation	sporulation
K00074	mmgB;3-hydroxybutyryl-CoA dehydrogenase	engineered systems	engineered systems	sporulation	sporulation
K00626	mmgA;acetyl-CoA acetyltransferase	engineered systems	engineered systems	sporulation	sporulation
K06399	spoIVB;peptidase S55	engineered systems	engineered systems	sporulation	sporulation
K06397	spoIIIAH;stage III sporulation protein AH	engineered systems	engineered systems	sporulation	sporulation
K06396	spoIIIAG;stage III sporulation protein AG	engineered systems	engineered systems	sporulation	sporulation
K06395	spoIIIAF;stage III sporulation protein AF	engineered systems	engineered systems	sporulation	sporulation
K06394	spoIIIAE;stage III sporulation protein AE	engineered systems	engineered systems	sporulation	sporulation
K06393	spoIIIAD;stage III sporulation protein AD	engineered systems	engineered systems	sporulation	sporulation
K06392	spoIIIAC;stage III sporulation protein AC	engineered systems	engineered systems	sporulation	sporulation
K06391	spoIIIAB;stage III sporulation protein AB	engineered systems	engineered systems	sporulation	sporulation
K06390	spoIIIAA;stage III sporulation protein AA	engineered systems	engineered systems	sporulation	sporulation
K08222	yqgE;hypothetical protein	engineered systems	engineered systems	sporulation	sporulation
K03526	ispG;4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase	engineered systems	engineered systems	sporulation	sporulation
K06438	yqfD;hypothetical protein	engineered systems	engineered systems	sporulation	sporulation
K06385	spoIIP;stage II sporulation protein P	engineered systems	engineered systems	sporulation	sporulation
K06012	gpr;germination protease	engineered systems	engineered systems	sporulation	germination
K02239	comER;ComE operon protein 4	engineered systems	engineered systems	sporulation	sporulation
K06371	sda;sporulation inhibitor sda	engineered systems	engineered systems	sporulation	phosphorelay
K01447	cwlH;N-acetylmuramoyl-L-alanine amidase CwlH	engineered systems	engineered systems	sporulation	sporulation
K00033	yqeC;6-phosphogluconate dehydrogenase YqeC	engineered systems	engineered systems	sporulation	sporulation
K06400	spoIVCA;DNA recombinase	engineered systems	engineered systems	sporulation	sporulation
K06440	yraG;spore coat protein F	engineered systems	engineered systems	sporulation	sporulation
K00121	adhB;zinc-type alcohol dehydrogenase	engineered systems	engineered systems	sporulation	sporulation
K06439	yraD;spore coat protein F	engineered systems	engineered systems	sporulation	sporulation
K21468	pbpI;penicillin-binding protein 4B	engineered systems	engineered systems	sporulation	sporulation
K10041	glnQ;glutamine transport ATP-binding protein GlnQ	engineered systems	engineered systems	sporulation	sporulation
K10039	glnH;ABC transporter substrate-binding protein GlnH	engineered systems	engineered systems	sporulation	sporulation
K10040	glnM;glutamine ABC transporter permease protein GlnM	engineered systems	engineered systems	sporulation	sporulation
K06409	spoVB;stage V sporulation protein B	engineered systems	engineered systems	sporulation	sporulation
K06318	bofC;general stress protein BofC	engineered systems	engineered systems	sporulation	sporulation
K03310	yrbD;sodium/proton-dependent alanine carrier protein YrbD	engineered systems	engineered systems	sporulation	sporulation
K06345	coxA;sporulation cortex protein CoxA	engineered systems	engineered systems	sporulation	sporulation
K06370	safA;spoivd-associated factor A	engineered systems	engineered systems	sporulation	sporulation
K06402	spoIVFB;stage IV sporulation protein FB	engineered systems	engineered systems	sporulation	sporulation
K06401	spoIVFA;stage IV sporulation protein FA	engineered systems	engineered systems	sporulation	sporulation
K06380	spoIIB;stage II sporulation protein B	engineered systems	engineered systems	sporulation	sporulation / other
K06417	spoVID;stage VI sporulation protein D	engineered systems	engineered systems	sporulation	sporulation
K04076	lonB;Lon protease 2	engineered systems	engineered systems	sporulation	sporulation
K06298	gerM;spore germination protein GerM	engineered systems	engineered systems	sporulation	germination
K01994	gerE;spore germination protein GerE	engineered systems	engineered systems	sporulation	germination
K06426	sspI;small acid-soluble spore protein I	engineered systems	engineered systems	sporulation	sporulation
K07636	phoR;alkaline phosphatase synthesis sensor protein PhoR	engineered systems	engineered systems	sporulation	sporulation
K07658	phoP;alkaline phosphatase synthesis transcriptional regulatory protein PhoP	engineered systems	engineered systems	sporulation	sporulation
K06418	sspA;small acid-soluble spore protein A	engineered systems	engineered systems	sporulation	sporulation
K02051	ytlA;ABC transporter substrate-binding protein YtlA	engineered systems	engineered systems	sporulation	sporulation
K02049	ytlC;ABC transporter ATP-binding protein	engineered systems	engineered systems	sporulation	sporulation
K02050	ytlD;ABC transporter permease	engineered systems	engineered systems	sporulation	sporulation
K03574	rppH;8-oxo-dGTP diphosphatase YtkD	engineered systems	engineered systems	sporulation	sporulation
K00425	ythA;cytochrome bd menaquinol oxidase subunit I	engineered systems	engineered systems	sporulation	sporulation
K00426	ythB;cytochrome bd menaquinol oxidase subunit II	engineered systems	engineered systems	sporulation	sporulation
K00963	ytdA;UTP--glucose-1-phosphate uridylyltransferase	engineered systems	engineered systems	sporulation	sporulation
K00012	ytcA;UDP-glucose 6-dehydrogenase YtcA	engineered systems	engineered systems	sporulation	sporulation
K06337	cotS;spore coat protein S	engineered systems	engineered systems	sporulation	sporulation
K06338	cotSA;spore coat protein SA	engineered systems	engineered systems	sporulation	sporulation
K06331	cotI;spore coat protein I	engineered systems	engineered systems	sporulation	sporulation
K00688	glgP;glycogen phosphorylase	engineered systems	engineered systems	sporulation	sporulation
K00703	glgA;glycogen synthase	engineered systems	engineered systems	sporulation	sporulation
K00975	glgD;glycogen biosynthesis protein GlgD	engineered systems	engineered systems	sporulation	sporulation
K00700	"glgB;1	4-alpha-glucan branching enzyme GlgB"	engineered systems	engineered systems	sporulation	sporulation
K07192	floT;hypothetical protein	engineered systems	engineered systems	sporulation	sporulation / other
K00456	yubC;cysteine dioxygenase	engineered systems	engineered systems	sporulation	sporulation
K00686	tgl;protein-glutamine gamma-glutamyltransferase	engineered systems	engineered systems	sporulation	sporulation
K01187	"yugT;oligo-1	6-glucosidase 3"	engineered systems	engineered systems	sporulation	sporulation
K03699	yugS;hypothetical protein	engineered systems	engineered systems	sporulation	sporulation
K06973	yugP;membrane protease YugP	engineered systems	engineered systems	sporulation	sporulation
K10716	yugO;potassium channel protein YugO	engineered systems	engineered systems	sporulation	sporulation
K09779	yuzA;hypothetical protein	engineered systems	engineered systems	sporulation	sporulation
K03885	yumB;NADH dehydrogenase-like protein YumB	engineered systems	engineered systems	sporulation	sporulation
K21472	lytH;L-Ala--D-Glu endopeptidase	engineered systems	engineered systems	sporulation	sporulation
K06424	sspG;small acid-soluble spore protein G	engineered systems	engineered systems	sporulation	sporulation
K00318	fadM;proline dehydrogenase 1	engineered systems	engineered systems	sporulation	sporulation
K06288	gerAA;spore germination protein A1	engineered systems	engineered systems	sporulation	germination
K06289	gerAB;spore germination protein A2	engineered systems	engineered systems	sporulation	germination
K06290	gerAC;spore germination protein A3	engineered systems	engineered systems	sporulation	germination
K06427	sspJ;small acid-soluble spore protein J	engineered systems	engineered systems	sporulation	sporulation
K01118	azoR2;FMN-dependent NADH-azoreductase 2	engineered systems	engineered systems	sporulation	sporulation
K13292	lgt;prolipoprotein diacylglyceryl transferase	engineered systems	engineered systems	sporulation	germination
K16699	tuaH;teichuronic acid biosynthesis glycosyltransferase TuaH	engineered systems	engineered systems	sporulation	sporulation
K16698	tuaG;teichuronic acid biosynthesis glycosyltransferase TuaG	engineered systems	engineered systems	sporulation	sporulation
K16706	tuaF;teichuronic acid biosynthesis protein TuaF	engineered systems	engineered systems	sporulation	sporulation
K06291	gerBA;spore germination protein B1	engineered systems	engineered systems	sporulation	germination
K06292	gerBB;spore germination protein B2	engineered systems	engineered systems	sporulation	germination
K06293	gerBC;spore germination protein B3	engineered systems	engineered systems	sporulation	germination
K03893	ywrK;arsenical pump membrane protein	engineered systems	engineered systems	sporulation	sporulation
K06325	cotB;spore coat protein B	engineered systems	engineered systems	sporulation	sporulation
K06330	cotH;inner spore coat protein H	engineered systems	engineered systems	sporulation	sporulation
K07240	ywrA;transporter	engineered systems	engineered systems	sporulation	sporulation / other
K05982	ywqL;endonuclease V	engineered systems	engineered systems	sporulation	sporulation
K06283	spoIIID;stage III sporulation protein D	engineered systems	engineered systems	sporulation	sporulation
K06435	usd;protein usd	engineered systems	engineered systems	sporulation	sporulation
K06386	spoIIQ;stage II sporulation protein Q	engineered systems	engineered systems	sporulation	sporulation
K06381	spoIID;stage II sporulation protein D	engineered systems	engineered systems	sporulation	sporulation
K06387	spoIIR;stage II sporulation protein R	engineered systems	engineered systems	sporulation	sporulation
K13281	ywjD;UV DNA damage endonuclease	engineered systems	engineered systems	sporulation	sporulation
K21464	pbpG;penicillin-binding protein 2D	engineered systems	engineered systems	sporulation	sporulation
K06314	rsfA;prespore-specific transcriptional regulator RsfA	engineered systems	engineered systems	sporulation	sporulation
K01790	spsL;spore coat polysaccharide biosynthesis protein SpsL	engineered systems	engineered systems	sporulation	sporulation
K00067	spsK;spore coat polysaccharide biosynthesis protein SpsK	engineered systems	engineered systems	sporulation	sporulation
K01710	"spsJ;dTDP-glucose 4	6-dehydratase"	engineered systems	engineered systems	sporulation	sporulation
K00973	spsI;dTDP-glucose pyrophosphorylase	engineered systems	engineered systems	sporulation	sporulation
K07257	spsF;spore coat polysaccharide biosynthesis protein SpsF	engineered systems	engineered systems	sporulation	sporulation
K06305	gerQ;spore coat protein GerQ	engineered systems	engineered systems	sporulation	sporulation
K14393	ywcA;symporter	engineered systems	engineered systems	sporulation	sporulation
K02761	ywbA;permease IIC component YwbA	engineered systems	engineered systems	sporulation	sporulation
K00019	yxjF;oxidoreductase	engineered systems	engineered systems	sporulation	sporulation
K01029	scoB;succinyl-CoA:3-ketoacid coenzyme A transferase subunit B	engineered systems	engineered systems	sporulation	sporulation
K01028	scoA;succinyl-CoA:3-ketoacid coenzyme A transferase subunit A	engineered systems	engineered systems	sporulation	sporulation
K03300	citH;citrate transporter	engineered systems	engineered systems	sporulation	sporulation
K06329	cotF;spore coat protein F	engineered systems	engineered systems	sporulation	sporulation
K06888	yyaL;hypothetical protein	engineered systems	engineered systems	sporulation	sporulation
K01142	exoA;exodeoxyribonuclease	engineered systems	engineered systems	sporulation	sporulation
K03497	parB;stage 0 sporulation protein J	engineered systems	engineered systems	sporulation	sporulation / other
K03496	parA;sporulation initiation inhibitor protein Soj	engineered systems	engineered systems	sporulation	sporulation / other
K06346	jag;protein jag	engineered systems	engineered systems	sporulation	sporulation / other
K03217	yidC1;membrane protein insertase MisCA	engineered systems	engineered systems	sporulation	sporulation / other
K02343	 DNA polymerase III subunits gamma and tau	engineered systems	engineered systems	sporulation	sporulation
K09747	DNA binding protein	engineered systems	engineered systems	sporulation	sporulation
K00991	 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	engineered systems	engineered systems	sporulation	sporulation
K01770	" 2-C-methyl-D-erythritol 2	4-cyclodiphosphate synthase"	engineered systems	engineered systems	sporulation	sporulation
K03431	 Phosphoglucosamine mutase	engineered systems	engineered systems	sporulation	sporulation
K00820	 Glucosamine--fructose-6-phosphate aminotransferase [isomerizing]	engineered systems	engineered systems	sporulation	sporulation
K02412	 ATP synthase subunit beta FliI	engineered systems	engineered systems	sporulation	sporulation
K00876	putative uridine kinase	engineered systems	engineered systems	sporulation	sporulation
K00131	 Glyceraldehyde-3-phosphate dehydrogenase (NADP(+)) (GADPH)	engineered systems	engineered systems	sporulation	sporulation
K01420	"Transcriptional regulator	 Crp family"	engineered systems	engineered systems	sporulation	sporulation
K03798	"putative ATP-dependent peptidase	 M41 family"	engineered systems	engineered systems	sporulation	sporulation
K03657	"putative DNA helicase	 UvrD/REP type"	engineered systems	engineered systems	sporulation	sporulation
K07301	putative Ca2+/Na+ antiporter	engineered systems	engineered systems	sporulation	sporulation
K02335	 DNA polymerase I (POLI)	engineered systems	engineered systems	sporulation	sporulation
K00859	 Dephospho-CoA kinase (Dephosphocoenzyme A kinase)	engineered systems	engineered systems	sporulation	sporulation
K08309	putative lytic transglycosylase-like protein	engineered systems	engineered systems	sporulation	sporulation
K05515	putative peptidoglycan glycosyltransferase	engineered systems	engineered systems	sporulation	sporulation
K03311	 Branched chain amino acid transport system carrier protein	engineered systems	engineered systems	sporulation	sporulation
K07447	putative Holliday junction resolvase	engineered systems	engineered systems	sporulation	sporulation
K03537	putative small acid-soluble spore protein SASP	engineered systems	engineered systems	sporulation	sporulation
K00965	putative galactose-1-phosphate uridylyltransferase	engineered systems	engineered systems	sporulation	sporulation
K16203	putative amino acid amidase	engineered systems	engineered systems	sporulation	sporulation
K01297	"putative muramoyltetrapeptide carboxypeptidase	S66 family"	engineered systems	engineered systems	sporulation	sporulation
K01126	 Glycerophosphoryl diester phosphodiesterase	engineered systems	engineered systems	sporulation	sporulation
K01921	 D-alanine--D-alanine ligase (D-alanylalanine synthetase) (D-Ala-D-Ala ligase)	engineered systems	engineered systems	sporulation	sporulation
K09936	putative membrane protein	engineered systems	engineered systems	sporulation	sporulation
K04759	 Ferrous iron transport protein B	engineered systems	engineered systems	sporulation	sporulation
K04758	 Ferrous iron transport protein	engineered systems	engineered systems	sporulation	sporulation
K00640	 Serine acetyltransferase (SAT)	engineered systems	engineered systems	sporulation	sporulation
K01304	 Pyrrolidone-carboxylate peptidase	engineered systems	engineered systems	sporulation	sporulation
K21583	"Glycine/sarcosine/betaine reductase complex	protein B	 alpha and beta subunits"	engineered systems	engineered systems	sporulation	sporulation
K03312	 Sodium/glutamate symporter	engineered systems	engineered systems	sporulation	sporulation
K09861	"conserved hypothetical protein	 UPF0246 family"	engineered systems	engineered systems	sporulation	sporulation
K01736	 Chorismate synthase (5-enolpyruvylshikimate-3-phosphate phospholyase)	engineered systems	engineered systems	sporulation	sporulation
K14170	" Bifunctional P-protein	 chorismate mutase/prephenate dehydratase"	engineered systems	engineered systems	sporulation	sporulation
K03790	putative Acyl-CoA N-acyltransferase	engineered systems	engineered systems	sporulation	sporulation
K13275	 Intracellular serine protease	engineered systems	engineered systems	sporulation	sporulation
K11105	putative Na(+)/H(+) antiporter	engineered systems	engineered systems	sporulation	sporulation
K06901	Xanthine/uracil/thiamine/ascorbate permease family protein	engineered systems	engineered systems	sporulation	sporulation
K00806	 Undecaprenyl pyrophosphate synthetase	engineered systems	engineered systems	sporulation	sporulation
K01893	 Asparaginyl-tRNA synthetase (Asparagine--tRNA ligase) (AsnRS)	engineered systems	engineered systems	sporulation	sporulation
K02770	" PTS system	 fructose-specific IIABC component"	engineered systems	engineered systems	sporulation	sporulation
K00882	 Fructose 1-phosphate kinase	engineered systems	engineered systems	sporulation	sporulation
K00177	putative flavodoxin/ferredoxin oxidoreductase gamma subunit	engineered systems	engineered systems	sporulation	sporulation
K00366	putative nitrite/sulphite reductase	engineered systems	engineered systems	sporulation	sporulation
K03595	 GTP-binding protein Era	engineered systems	engineered systems	sporulation	sporulation
K01489	 Cytidine deaminase (Cytidine aminohydrolase) (CDA)	engineered systems	engineered systems	sporulation	sporulation
K00901	putative diacylglycerol kinase	engineered systems	engineered systems	sporulation	sporulation
K07042	putative metal-dependent hydrolase	engineered systems	engineered systems	sporulation	sporulation
K06217	PhoH-like protein	engineered systems	engineered systems	sporulation	sporulation
K05770	"putative transmembrane signaling protein	TspO/MBR family"	engineered systems	engineered systems	sporulation	sporulation
K25026	"putative glucokinase	 ROK family"	engineered systems	engineered systems	sporulation	sporulation
K03294	putative amino acid/polyamine transporter	engineered systems	engineered systems	sporulation	sporulation
K11751	putative membrane-associated 5'-nucleotidase/phosphoesterase	engineered systems	engineered systems	sporulation	sporulation
K22278	putative oligosaccharide deacetylase	engineered systems	engineered systems	sporulation	sporulation
K05810	conserved hypothetical protein	engineered systems	engineered systems	sporulation	sporulation
K07738	" Transcriptional regulator	 repressor NrdR family"	engineered systems	engineered systems	sporulation	sporulation
K01928	 UDP-N-acetylmuramyl-tripeptide synthetase	engineered systems	engineered systems	sporulation	sporulation
K20118	" PTS system	 glucose-specific IIBC component"	engineered systems	engineered systems	sporulation	sporulation
K03980	" Transmembrane virulence factor	 MviN family protein"	engineered systems	engineered systems	sporulation	sporulation
K03594	putative bacterioferritin	engineered systems	engineered systems	sporulation	sporulation
K01464	D-hydantoinase (Dihydropyrimidinase)	engineered systems	engineered systems	sporulation	sporulation
K24206	putative purine permease	engineered systems	engineered systems	sporulation	sporulation
K06015	putative D-aminoacylase	engineered systems	engineered systems	sporulation	sporulation
K01751	 Diaminopropionate ammonia-lyase	engineered systems	engineered systems	sporulation	sporulation
K07507	"putative magnesium transport ATPase	 MgtC/SapB family"	engineered systems	engineered systems	sporulation	sporulation
K06949	 putative EngC-like GTPase	engineered systems	engineered systems	sporulation	sporulation
K09762	 putative sporulation transcription regulator whiA	engineered systems	engineered systems	sporulation	sporulation
K01934	5-formyltetrahydrofolate cyclo-ligase	engineered systems	engineered systems	sporulation	sporulation
K07171	 Endoribonuclease toxin	engineered systems	engineered systems	sporulation	sporulation
K07723	putative antitoxin EndoAI	engineered systems	engineered systems	sporulation	sporulation
K00997	 Holo-[acyl-carrier-protein] synthase	engineered systems	engineered systems	sporulation	sporulation
K02112	 ATP synthase subunit beta (ATPase subunit beta) (ATP synthase F1 sector subunit beta)	engineered systems	engineered systems	sporulation	sporulation
K07238	putative zinc/iron permease	engineered systems	engineered systems	sporulation	sporulation
K01258	"putative peptidase T	 M20B family"	engineered systems	engineered systems	sporulation	sporulation
K01585	putative arginine decarboxylase	engineered systems	engineered systems	sporulation	sporulation
K19689	Aminopeptidase	engineered systems	engineered systems	sporulation	sporulation
K01759	putative glyoxalase	engineered systems	engineered systems	sporulation	sporulation
BAC0001	abeM;Q5FAM9_ACIBA Multidrug efflux pump AbeM OS=Acinetobacter baumannii GN=abeM PE=4 SV=2	engineered systems	engineered systems	BactMet	biocide resistance
BAC0002	abeS;Q2FD83_ACIBA QacEdelta1 SMR family efflux pump OS=Acinetobacter baumannii GN=qacEdelta1 PE=3 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0003	acn;O53166_MYCTU Aconitate hydratase OS=Mycobacterium tuberculosis H37Rv GN=RVBD_1475c PE=4 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0004	acr3;B5LX01_CAMJU Acr3 OS=Campylobacter jejuni GN=acr3 PE=4 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0005	acrA;ACRA_ECOLI Multidrug efflux pump subunit AcrA OS=Escherichia coli (strain K12) GN=acrA PE=1 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0006	acrB;ACRB_ECOLI Multidrug efflux pump subunit AcrB OS=Escherichia coli (strain K12) GN=acrB PE=1 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0007	acrC;Q1LMP2_RALME Cation/multidrug efflux system outer membrane porin OS=Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839) GN=acrC PE=4 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0563	acrD;Q8ZN77_SALTY RND family aminoglycoside/multidrug efflux pump OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) GN=acrD PE=4 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0008	acrD/yffA;ACRD_ECOLI Probable aminoglycoside efflux pump OS=Escherichia coli (strain K12) GN=acrD PE=3 SV=3	engineered systems	engineered systems	BactMet	biocide resistance
BAC0009	acrE/envC;ACRE_ECOLI Acriflavine resistance protein E OS=Escherichia coli (strain K12) GN=acrE PE=2 SV=2	engineered systems	engineered systems	BactMet	biocide resistance
BAC0010	acrF/envD;ACRF_ECOLI Acriflavine resistance protein F OS=Escherichia coli (strain K12) GN=acrF PE=2 SV=2	engineered systems	engineered systems	BactMet	biocide resistance
BAC0011	acrR/ybaH;ACRR_ECOLI HTH-type transcriptional regulator AcrR OS=Escherichia coli (strain K12) GN=acrR PE=1 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0567	actA;LNT_SINMW Apolipoprotein N-acyltransferase OS=Sinorhizobium medicae (strain WSM419) GN=lnt PE=3 SV=3	engineered systems	engineered systems	BactMet	biocide resistance
BAC0012	actP;ATCU_SINMW Copper-transporting P-type ATPase OS=Sinorhizobium medicae (strain WSM419) GN=actP PE=1 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0568	actP;ATCU_RHILV Copper-transporting P-type ATPase OS=Rhizobium leguminosarum bv. viciae GN=actP PE=1 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0570	actP;D5AU53_RHOCB Cation/acetate symporter ActP-1 OS=Rhodobacter capsulatus (strain ATCC BAA-309 / NBRC 16581 / SB1003) GN=actP1 PE=3 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0564	actP/yjcG;ACTP_ECOLI Cation/acetate symporter ActP OS=Escherichia coli (strain K12) GN=actP PE=1 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0565	actR;ACTR_SINMW Acid tolerance regulatory protein ActR OS=Sinorhizobium medicae (strain WSM419) GN=actR PE=3 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0566	actS;Q52912_9RHIZ Histidine protein kinase OS=Sinorhizobium medicae GN=actS PE=4 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0471	adeA;Q93E20_ACIBA AdeA membrane fusion protein OS=Acinetobacter baumannii GN=adeA PE=4 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0472	adeB;Q93E19_ACIBA AdeB RND protein OS=Acinetobacter baumannii GN=adeB PE=4 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0473	adeC;Q93E18_ACIBA AdeC outer membrane protein OS=Acinetobacter baumannii GN=adeC PE=4 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0474	adeD;Q67GM1_ACIG3 AdeD OS=Acinetobacter sp. 4365 GN=adeD PE=4 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0013	adeE;Q8GKU1_ACIG3 AdeE OS=Acinetobacter sp. 4365 GN=adeE PE=4 SV=2	engineered systems	engineered systems	BactMet	biocide resistance
BAC0014	adeF;Q2FD82_ACIBA Putative RND family drug transporter OS=Acinetobacter baumannii GN=29_161 PE=4 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0015	adeG;Q2FD81_ACIBA Cation/multidrug efflux pump OS=Acinetobacter baumannii GN=29_167 PE=4 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0016	adeH;Q2FD80_ACIBA Putative RND family drug transporter OS=Acinetobacter baumannii GN=29_170 PE=4 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0017	adeI;Q2FD95_ACIBA AdeI OS=Acinetobacter baumannii GN=adeI PE=4 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0018	adeJ;Q24LT7_ACIBA AdeJ OS=Acinetobacter baumannii GN=adeJ PE=4 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0019	adeK;Q24LT6_ACIBA AdeK OS=Acinetobacter baumannii GN=adeK PE=4 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0508	adeL;A3M732_ACIBT Transcriptional regulator LysR family OS=Acinetobacter baumannii (strain ATCC 17978 / NCDC KC 755) GN=A1S_2303 PE=4 SV=2	engineered systems	engineered systems	BactMet	biocide resistance
BAC0496	"adeN;B7H1T7_ACIB3 Bacterial regulatory protein	 tetR family protein OS=Acinetobacter baumannii (strain AB307-0294) GN=ABBFA_001467 PE=4 SV=1"	engineered systems	engineered systems	BactMet	biocide resistance
BAC0478	adeT1;C7F8K6_ACIBA AdeT1 OS=Acinetobacter baumannii PE=4 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0479	adeT2;C7F8K7_ACIBA AdeT2 OS=Acinetobacter baumannii PE=4 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0020	aioA/aoxB;AIOA_HERAR Arsenite oxidase subunit AioA OS=Herminiimonas arsenicoxydans GN=aioA PE=2 SV=2	engineered systems	engineered systems	BactMet	biocide resistance
BAC0021	aioB/aoxA;AIOB_HERAR Arsenite oxidase subunit AioB OS=Herminiimonas arsenicoxydans GN=aioB PE=2 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0022	aioR/aoxR;Q2VGB1_RHIRD Putative transcriptional regulator OS=Rhizobium radiobacter GN=aoxR PE=4 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0023	aioS/aoxS;Q2VGB2_RHIRD Putative sensor histidine kinase OS=Rhizobium radiobacter GN=aoxS PE=4 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0024	aioX/aoxX;G8XNW6_RHIRD AioX (Fragment) OS=Rhizobium radiobacter GN=aioX PE=4 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0489	ALU1-P;O52119_ARTVI Aluminum resistance protein (Fragment) OS=Arthrobacter viscosus GN=ALU1 PE=3 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0025	amvA;C4PAW9_ACIBA Major facilitator superfamily efflux pump OS=Acinetobacter baumannii PE=4 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0030	arsA;ARSA2_ECOLX Arsenical pump-driving ATPase OS=Escherichia coli GN=arsA PE=3 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0571	arsA;ARSA_ACIMA Arsenical pump-driving ATPase OS=Acidiphilium multivorum (strain DSM 11245 / JCM 8867 / AIU301) GN=arsA PE=3 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0572	arsA;ARSA1_ECOLX Arsenical pump-driving ATPase OS=Escherichia coli GN=arsA PE=1 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0031	arsB;ARSB1_ECOLX Arsenical pump membrane protein OS=Escherichia coli GN=arsB PE=4 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0573	arsB;ARSB_BACSU Arsenite resistance protein ArsB OS=Bacillus subtilis (strain 168) GN=arsB PE=3 SV=2	engineered systems	engineered systems	BactMet	biocide resistance
BAC0574	arsB;ARSB_STAAU Arsenical pump membrane protein OS=Staphylococcus aureus GN=arsB PE=3 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0575	arsB;ARSB_STAXY Arsenical pump membrane protein OS=Staphylococcus xylosus GN=arsB PE=3 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0576	arsB;ARSB2_ECOLX Arsenical pump membrane protein OS=Escherichia coli GN=arsB PE=4 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0577	arsB;ARSB_YEREN Arsenical pump membrane protein OS=Yersinia enterocolitica GN=arsB PE=3 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0578	arsB;O50594_ACIMU ArsB OS=Acidiphilium multivorum GN=arsB PE=4 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0579	arsB;Y944_SYNY3 Uncharacterized transporter slr0944 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) GN=slr0944 PE=3 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0032	arsC;ARSC_STAAU Protein ArsC OS=Staphylococcus aureus GN=arsC PE=1 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0580	arsC;ARSC_STAXY Protein ArsC OS=Staphylococcus xylosus GN=arsC PE=3 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
BAC0581	arsC;ARSC_BACSU Protein ArsC OS=Bacillus subtilis (strain 168) GN=arsC PE=1 SV=1	engineered systems	engineered systems	BactMet	biocide resistance
